file,pipeline,n,kappa,agreement,interpretation,threshold,model,alignment
01,ADAPTIVERAG,420,0.5704435761893818,0.7880952380952381,moderate,,,
01,BM25,620,0.5427824267782426,0.7725806451612903,moderate,,,
01,HB1,361,0.2569057104913678,0.8282548476454293,fair,,,
01,HB2,363,0.30063360279659157,0.7327823691460055,fair,,,
01,HYB,106,0.23769871309613932,0.8207547169811321,fair,,,
01,QB1,358,0.3106068491724784,0.6899441340782123,fair,,,
01,QB2,313,0.42671758699972717,0.8498402555910544,moderate,,,
01,QB3,130,0.3384615384615385,0.6692307692307692,fair,,,
01,QB4,117,0.17372881355932202,0.8290598290598291,poor,,,
01,RAGFUSION,620,0.378575008208478,0.8129032258064516,fair,,,
01,SELFRAG,310,0.6378006872852233,0.8354838709677419,substantial,,,
01,ALL,3718,0.46208806368439015,0.7859064012910166,moderate,,,
02,,620,0.3524106373101664,0.7967741935483871,fair,thr_0.1,,
02,,620,0.3524106373101664,0.7967741935483871,fair,thr_0.2,,
02,,620,0.3524106373101664,0.7967741935483871,fair,thr_0.3,,
02,,617,0.3525269963779154,0.7990275526742301,fair,thr_0.4,,
02,,611,0.3501428383070364,0.8019639934533551,fair,thr_0.5,,
02,,586,0.302395395540465,0.8037542662116041,fair,thr_0.6,,
02,,434,0.2448160858427183,0.8341013824884793,fair,thr_0.7,,
02,,82,0.0,0.9634146341463414,poor,thr_0.8,,
02,,4190,0.3394450475103462,0.8059665871121718,fair,ALL,,
03,,68,0.1317957166392092,0.5441176470588235,poor,,deepseek-r1-70b,
03,,68,-0.0625,0.8676470588235294,poor,,gpt-4.1,
03,,68,0.21387283236994215,0.5882352941176471,fair,,granite-3.1-8b,
03,,68,0.5244755244755245,0.7647058823529411,moderate,,llama-3.1-8b,
03,,68,0.40400667779632715,0.6911764705882353,moderate,,mistral-7b,
03,,68,0.27142857142857146,0.7794117647058824,fair,,qwen3-8b,
03,,408,0.34533201401331803,0.7058823529411765,fair,,ALL,
04,,68,0.46456692913385833,0.9117647058823529,moderate,,,alignment_sample
04,,68,0.46456692913385833,0.9117647058823529,moderate,,,ALL
